STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
186,Hillcrest Road,064 425204601,nan,HILLCREST RD,nan,nan,3130,37.8525369,-122.2440347,1587307.0
1317,Kains Avenue,060 240302800,nan,KAINS AVE,nan,nan,1326,37.880075,-122.2944612,527392.0
280,Fairlawn Drive,060 248401400,nan,FAIRLAWN DR,nan,nan,2048,37.8825856,-122.2507255,736828.0
624,San Miguel Avenue,062 289004000,nan,SAN MIGUEL AVE,nan,nan,1849,37.8963302,-122.282865,321865.0
139,Parkside Drive,064 424401200,nan,PARKSIDE DR,nan,nan,3389,37.8543101,-122.2417354,1150778.0
2921,Acton Street,053 161903200,nan,ACTON ST,nan,nan,1063,37.8537605,-122.2813154,800000.0
2834,Russell Street,052 156602500,nan,RUSSELL ST,nan,nan,2512,37.8585097,-122.2490886,1388661.0
1821,Yosemite Road,062 289901400,nan,YOSEMITE RD,nan,nan,3393,37.8969319,-122.2808168,147865.0
1760,Walnut Street,058 217700900,nan,WALNUT ST,nan,nan,11074,37.8755551,-122.2679261,1872473.0
726,Neilson Street,062 284900400,nan,NEILSON ST,nan,nan,980,37.8941858,-122.2867076,674628.0
1086,Spruce Street,061 258802700,nan,SPRUCE ST,nan,nan,2828,37.8889525,-122.266991,1618801.0
1201,Oregon Street,054 174205604,nan,OREGON ST,nan,nan,2696,37.8552595,-122.2864918,68987.0
1807,Capistrano Avenue,062 288902000,nan,CAPISTRANO AVE,nan,nan,1337,37.8939966,-122.2809958,541648.0
1119,Carleton Street,054 178500900,nan,CARLETON ST,nan,nan,1262,37.8588565,-122.2878125,910961.0
2638,Russell Street,052 156803800,nan,RUSSELL ST,3,nan,822,37.8581896,-122.2538785,720000.0
1061,Miller Avenue,063 297904401,nan,MILLER AVE,nan,nan,3356,37.8927662,-122.2581047,1766080.0
988,Creston Road,063 296801300,nan,CRESTON RD,nan,nan,2344,37.8955142,-122.2591219,761184.0
1049,Spruce Street,061 255501300,nan,SPRUCE ST,nan,nan,1137,37.889769,-122.2667297,791364.0
927,Indian Rock Avenue,061 258401700,nan,INDIAN ROCK AVE,nan,nan,2979,37.8926055,-122.2725348,680667.0
57,Domingo Avenue,064 424202700,nan,DOMINGO AVE,nan,nan,2492,37.8559101,-122.2434063,141255.0
3132,Martin Luther King Jr Way,052 155101302,nan,M L KING JR WAY,nan,nan,31163,37.8212002,-122.2703274,4761581.0
733,Santa Barbara Road,061 258200100,nan,SANTA BARBARA RD,nan,nan,2963,37.8971648,-122.2705621,212744.0
2909,Ellis Street,053 160303100,nan,ELLIS ST,nan,nan,1514,37.8553937,-122.2731077,621862.0
93,Alamo Avenue,063 295203800,nan,ALAMO AVE,nan,nan,1720,37.8985321,-122.2688165,417408.0
653,San Fernando Avenue,062 292101600,nan,SAN FERNANDO AVE,nan,nan,1796,37.8975856,-122.277774,943111.0
1720,Parker Street,054 180902600,nan,PARKER ST,nan,nan,2535,37.8609468,-122.2751423,52775.0
69,Parnassus Road,058 223200401,nan,PARNASSUS RD,nan,nan,7904,37.8819417,-122.2537354,1995885.0
2107,California Street,056 200503000,nan,CALIFORNIA ST,nan,nan,1665,37.8692831,-122.2793998,284365.0
1817,Hopkins Street,061 260600400,nan,HOPKINS ST,nan,nan,1749,37.8847655,-122.2762666,1001554.0
1725,Shattuck Avenue,058 217701801,nan,SHATTUCK AVE,nan,nan,23954,37.8755934,-122.268389,1392417.0
2331,Roosevelt Avenue,055 190502700,nan,ROOSEVELT AVE,nan,nan,1532,37.865399,-122.2755769,1535534.0
1817,Carleton Street,054 181203500,nan,CARLETON ST,C,nan,2011,37.8607223,-122.273044,1581500.0
1401,Greenwood Terrace,058 224300103,nan,GREENWOOD TER,nan,nan,2405,37.8833531,-122.2586709,722681.0
2231,Browning Street,056 198802600,nan,BROWNING ST,nan,nan,1235,37.8657893,-122.287534,229245.0
2229,Tenth Street,056 197602500,nan,TENTH ST,nan,nan,2862,37.8653095,-122.2918796,768108.0
2514,Hill Court,058 224601600,nan,HILL CT,nan,nan,1590,37.8798472,-122.2606604,392293.0
1507,Fifth Street,059 231502200,nan,FIFTH ST,nan,nan,1467,37.8746991,-122.3008325,191894.0
2396,San Pablo Avenue,056 193301800,nan,SAN PABLO AVE,nan,nan,836,37.8630672,-122.2906064,138777.0
2600,Ashby Avenue,052 157311700,nan,ASHBY AVE,COM,nan,0,37.8565857,-122.2552563,0.0
3119,Eton Avenue,052 156317300,nan,ETON AVE,nan,nan,2744,37.8535039,-122.2506722,163772.0
2308,Acton Street,056 191700600,nan,ACTON ST,nan,nan,1014,37.8649997,-122.2838655,282378.0
1409,Derby Street,054 179301100,nan,DERBY ST,nan,nan,1692,37.8586756,-122.28212,220861.0
2234,Jefferson Avenue,056 200701900,nan,JEFFERSON AVE,nan,nan,1650,37.8666465,-122.2785088,1805541.0
1435,Russell Street,053 166900900,nan,RUSSELL ST,nan,nan,1724,37.8549629,-122.2803127,809942.0
2320,Blake Street,055 183202400,nan,BLAKE ST,nan,nan,2650,37.8635735,-122.2618197,408246.0
1443,Derby Street,054 179300300,nan,DERBY ST,nan,nan,1938,37.8588824,-122.2806415,1317823.0
1531,Fairview Street,052 154400900,nan,FAIRVIEW ST,nan,nan,2186,37.8502548,-122.2769895,293912.0
201,University Avenue,060 900801100,nan,UNIVERSITY AVE,H23,nan,0,37.8665546,-122.3149981,384192.0
1917,Vine Street,059 226901500,nan,VINE ST,nan,nan,1783,37.8799328,-122.2729596,488987.0
2750,Buena Vista Way,058 224205801,nan,BUENA VISTA WAY,nan,nan,4762,37.8812304,-122.2573211,1247014.0
2614,Milvia Street,055 181700400,nan,MILVIA ST,nan,nan,1533,37.8613091,-122.2698628,510571.0
